group_id,subject_id,sample_id,sample_type,sequence_type,filetype,filepath
PMC0101,PMC01,BLOOD,normal,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/BLOOD/BLOOD.recal.bam
PMC0101,PMC01,DIAF,tumor,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/DIAF/DIAF.recal.bam
PMC0102,PMC01,BLOOD,normal,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/BLOOD/BLOOD.recal.bam
PMC0102,PMC01,OMEN,tumor,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/OMEN/OMEN.recal.bam
PMC0103,PMC01,BLOOD,normal,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/BLOOD/BLOOD.recal.bam
PMC0103,PMC01,LN,tumor,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/LN/LN.recal.bam
PMC0104,PMC01,BLOOD,normal,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/BLOOD/BLOOD.recal.bam
PMC0104,PMC01,LNMETA,tumor,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/LNMETA/LNMETA.recal.bam
PMC0105,PMC01,BLOOD,normal,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/BLOOD/BLOOD.recal.bam
PMC0105,PMC01,HK,tumor,dna,bam,/path/to/pmc_case/sarek_results/preprocessing/recalibrated/HK/HK.recal.bam
